Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"CH4 emissions, latest year",% change since 1990,"Emissions, pc last year"
250.0,France,2795.09,2823.37,2816.39,2831.38,2835.49,2859.52,2828.41,2784.27,2788.83,2791.13,2805.91,2800.6,2732.62,2689.28,2629.92,2586.11,2556.8,2539.77,2541.92,2498.27,2487.89,2440.25,2387.05,2366.43,2359.48,2332.34,2309.89,2295.16,2260.0,2018,2260.0,-19.14,0.035
266.0,Gabon,,,,,1167.37,,,,,,710.43,,,,,,,,,,,,,,,,,,,2000,710.43,,0.578
270.0,Gambia,,,,4010.74,,,,,,,795.23,,,,,,,,,,,,,,,,,,,2000,795.23,,0.603
268.0,Georgia,2545.2,6208.44,4871.24,3747.16,3181.71,2980.01,3045.0,348.6,,,5093.34,4332.72,4290.93,4625.04,4438.35,4095.04,5175.56,5031.47,4589.45,3917.29,4107.18,4568.13,4939.62,4700.22,,,,,,2013,4700.22,84.67,1.161
276.0,Germany,4847.7,4600.77,4457.42,4481.78,4323.44,4224.53,4129.84,3949.41,3745.03,3709.19,3544.22,3401.79,3238.77,3100.55,2901.15,2774.73,2623.81,2542.77,2506.12,2407.4,2367.25,2322.69,2352.19,2328.78,2279.64,2270.7,2220.28,2189.53,2105.68,2018,2105.68,-56.56,0.025
288.0,Ghana,3005.81,3350.05,3227.07,3314.01,3463.95,3651.27,3842.58,4409.43,4502.33,4608.03,4870.74,5361.93,5702.97,5852.7,6100.08,6217.89,6419.28,,,,,,,,,,,,,2006,6419.28,113.56,0.287
300.0,Greece,441.69,441.64,444.68,446.06,450.85,457.1,463.81,461.94,470.88,470.12,469.44,442.23,446.57,450.46,451.5,455.29,458.4,453.06,449.19,434.47,442.73,437.43,430.91,421.32,412.95,406.07,392.2,402.37,403.64,2018,403.64,-8.61,0.038
308.0,Grenada,,,,,1470.51,,,,,,,,,,,,,,,,,,,,,,,,,1994,1470.51,,14.802
320.0,Guatemala,4087.86,,,,3846.15,,,,,,4086.85,,,,,5235.51,,,,,,,,,,,,,,2005,5235.51,28.07,0.4
324.0,Guinea,,,,,3249.52,,,,,,7623.0,,,,,,,,,,,,,,,,,,,2000,7623.0,,0.925
624.0,Guinea-Bissau,,,,,668.68,,,,,,,,,,,,1219.68,,,,3450.22,,,,,,,,,2010,3450.22,,2.266
328.0,Guyana,891.03,901.53,907.83,922.53,925.26,873.6,933.03,969.36,904.26,1040.13,918.96,973.14,771.12,1027.53,995.61,,,,,,,,,,,,,,,2004,995.61,11.74,1.335
332.0,Haiti,,,,,2739.87,3064.74,3630.69,3649.59,3628.59,3674.16,3669.96,,,,,,,,,,,,,,,,,,,2000,3669.96,,0.434
340.0,Honduras,,,,,,5762.23,,,,,3847.85,,,,,4149.6,,,,,,,,,,3705.45,,,,2015,3705.45,,0.407
348.0,Hungary,468.87,458.12,406.09,384.14,365.35,343.9,346.42,340.81,336.0,338.6,342.65,338.02,336.03,342.85,328.73,320.47,314.58,312.76,306.93,308.41,308.54,305.22,307.21,300.46,293.19,294.11,292.11,294.98,290.88,2018,290.88,-37.96,0.03
352.0,Iceland,24.42,24.32,24.74,25.41,25.78,25.85,26.68,26.88,26.91,27.23,27.21,27.67,27.93,27.54,27.4,26.9,28.35,28.61,28.06,27.7,27.27,26.41,25.34,25.54,26.02,26.26,25.92,25.48,25.2,2018,25.2,3.18,0.075
356.0,India,,,,,379596.0,,,,,,407238.3,,,,,,,,,,412086.36,,,,,,,,,2010,412086.36,,0.334
360.0,Indonesia,106113.0,119536.2,122351.04,124257.84,126882.0,,,,,,236331.9,,,,,,,,,,,,,,,,,,,2000,236331.9,122.72,1.117
364.0,Iran (Islamic Republic of),,,,,53144.39,,,,,,75713.82,,,,,,,,,,,,,,,,,,,2000,75713.82,,1.154
368.0,Iraq,,,,,,,,6699.0,,,,,,,,,,,,,,,,,,,,,,1997,6699.0,,0.312
372.0,Ireland,590.43,597.62,602.12,602.76,599.52,600.02,609.57,608.34,617.45,597.33,573.53,574.55,570.6,594.63,556.19,543.27,541.78,515.18,507.06,492.9,482.8,481.5,493.48,506.91,518.67,531.61,547.15,559.68,559.4,2018,559.4,-5.26,0.116
376.0,Israel,,,,,,,3522.91,,,,3888.33,,,4966.04,5244.15,5529.92,5819.52,6045.47,6266.96,6388.36,6714.75,6727.1,6934.66,6963.98,7094.8,7109.29,7253.92,7307.25,7380.9,2018,7380.9,,0.881
380.0,Italy,1929.9,1965.06,1959.08,1971.34,1988.34,2013.03,2032.67,2054.56,2035.22,2034.16,2030.65,2034.75,1969.6,1977.85,1913.15,1933.13,1882.59,1910.54,1893.11,1891.69,1879.2,1822.78,1846.73,1790.83,1756.19,1755.34,1735.97,1746.32,1721.31,2018,1721.31,-10.81,0.028
388.0,Jamaica,,,,,1217.91,,,,,,,,,,,,818.58,834.96,840.84,857.22,847.35,,852.18,,,,,,,2012,852.18,,0.3
392.0,Japan,1776.74,1730.39,1764.75,1601.02,1736.46,1677.06,1628.87,1598.82,1524.31,1519.59,1519.28,1485.28,1457.45,1399.66,1441.0,1433.82,1410.55,1421.58,1409.59,1371.06,1391.34,1351.05,1316.16,1301.34,1275.48,1242.59,1229.45,1209.49,1194.2,2018,1194.2,-32.79,0.009
400.0,Jordan,,,,,8475.36,,,,,,2745.13,,,,,,3066.0,,,,,,,,,,,,,2006,3066.0,,0.512
398.0,Kazakhstan,4116.29,4012.73,3828.66,3466.41,2974.76,2589.79,2447.73,2462.57,2540.6,2467.62,2843.92,1469.3,1475.63,1643.64,1712.7,1696.37,1812.33,1878.69,1995.64,1944.76,2104.58,2141.78,2149.31,2202.78,2175.69,2114.33,2150.43,2208.47,2313.31,2018,2313.31,-43.8,0.126
404.0,Kenya,,,,,15537.09,16724.19,,,,,15669.57,,,,,18042.57,,,,,22185.66,,,,,,,,,2010,22185.66,,0.528
296.0,Kiribati,,,,,9.42,,,,,,,,,,,,2.49,2.62,2.14,,,,,,,,,,,2008,2.14,,0.022
414.0,Kuwait,,,,,2712.99,,,,,,,,,,,,,,,,,,,,,,2002.08,,,2016,2002.08,,0.506
417.0,Kyrgyzstan,5357.07,5335.68,4874.77,4242.95,3328.83,3112.98,2885.58,2878.9,2764.3,2798.33,2954.88,3101.27,3444.84,3719.42,4218.04,4478.7,4396.26,4423.89,4819.69,5021.84,4711.27,,,,,,,,,2010,4711.27,-12.06,0.869
418.0,Lao People's Democratic Republic,6414.45,,,,,,,,,,5344.29,,,,,,,,,,,,,,,,,,,2000,5344.29,-16.68,1.004
428.0,Latvia,143.8,141.98,122.36,93.59,86.78,86.4,84.99,83.72,80.26,74.94,74.9,78.33,77.32,73.92,72.71,74.68,72.8,74.76,73.32,74.14,71.65,69.71,71.37,72.25,74.15,70.2,71.23,72.53,69.34,2018,69.34,-51.78,0.036
