Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"N2O emissions, latest year",% change since 1990,"Emissions, pc last year"
762.0,Tajikistan,2790.0,3100.0,2790.0,2790.0,2480.0,2170.0,2170.0,2170.0,2170.0,1860.0,1860.0,1860.0,2170.0,2170.0,2480.0,2480.0,2170.0,2170.0,1860.0,2790.0,2790.0,,,,,,,,,2010,2790.0,,0.371
764.0,Thailand,,,,,17190.12,,,,,,,,,,,,,,,,,,,17118.2,,,,,,2013,17118.2,,0.251
626.0,Timor-Leste,,,,,,,,,,,,,,,,,,,,,467.18,,,,,,,,,2010,467.18,,0.427
768.0,Togo,,,2638.1,3258.1,2762.1,2783.21,3568.1,3695.2,3757.2,,2346.7,,,,,2895.4,,,,,,,,,,,,,,2005,2895.4,,0.516
776.0,Tonga,,,,,43.4,,,,,,55.8,,,,,,42.78,,,,,,,,,,,,,2006,42.78,,0.421
780.0,Trinidad and Tobago,332.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1990,332.63,,0.272
788.0,Tunisia,,,,,4261.11,,,,,,5760.73,,,,,,,,,,,,,,,,,,,2000,5760.73,,0.593
792.0,Turkey,83.32,82.64,84.35,87.04,78.73,79.68,81.99,80.25,84.74,85.74,82.82,77.8,77.68,82.84,84.6,87.45,94.46,91.93,87.02,94.81,99.34,102.93,106.75,113.51,115.03,117.54,125.52,130.34,130.62,2018,130.62,56.77,0.002
795.0,Turkmenistan,,,,,909.01,,,,,,1392.68,,,,1780.92,,,,,,1643.08,,,,,,,,,2010,1643.08,,0.323
798.0,Tuvalu,,,,,0.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,2014,5.0,,0.455
800.0,Uganda,,,,,14164.83,,,,,,16724.5,,,,,,,,,,,,,,,,,,,2000,16724.5,,0.707
804.0,Ukraine,179.31,161.98,150.06,140.67,120.79,110.13,95.48,98.04,87.06,79.8,79.8,84.2,85.71,76.65,84.98,86.04,87.22,85.94,103.32,89.89,91.85,111.86,106.99,118.78,118.44,110.73,121.78,116.96,129.69,2018,129.69,-27.67,0.003
784.0,United Arab Emirates,,,,,55118.0,,,,,,6169.0,,,,,6138.0,,,,,,,,,449.82,,,,,2014,449.82,,0.049
826.0,United Kingdom of Great Britain and Northern Ireland,155.07,155.8,139.32,125.11,127.25,123.02,122.99,123.84,123.71,91.75,89.55,84.44,78.97,77.55,79.37,76.33,72.51,72.68,70.53,65.66,66.8,64.16,63.7,63.47,65.46,63.8,63.56,64.79,64.46,2018,64.46,-58.43,0.001
834.0,United Republic of Tanzania,15082.65,,,,14376.25,,,,,,,,,,,,,,,,,,,,,,,,,1994,14376.25,-4.68,0.499
840.0,United States of America,1458.47,1425.6,1423.99,1518.02,1468.32,1507.58,1546.5,1498.87,1499.96,1464.43,1420.5,1471.55,1465.26,1466.93,1498.98,1451.79,1438.64,1476.28,1421.63,1417.66,1447.73,1415.62,1316.32,1473.74,1507.6,1489.33,1429.76,1413.62,1458.15,2018,1458.15,-0.02,0.004
858.0,Uruguay,7254.0,,,,7812.0,,,,10594.47,,7507.89,,10217.57,,8282.58,,11545.14,,11873.93,,8466.72,,9768.1,,9202.07,,8575.65,8823.53,,2017,8823.53,21.64,2.567
860.0,Uzbekistan,12840.8,13354.7,13329.7,12747.6,11991.1,11428.4,11331.2,11132.0,11195.4,10858.4,10682.2,10350.9,10594.1,10428.8,10438.1,9421.2,9068.8,9118.8,9539.3,9989.2,10479.6,10966.9,11203.7,,,,,,,2012,11203.7,-12.75,0.38
548.0,Vanuatu,,,,,9.02,,,,,,179.8,,,,,,,,,,,,,,,,,,,2000,179.8,,0.972
862.0,Venezuela (Bolivarian Republic of),,,,,,,,,,16144.8,,,,,,,,,,,,,,,,,,,,1999,16144.8,,0.68
704.0,Viet Nam,,,,,10177.3,,,,,,16389.7,,,,,,,,,,32696.29,,,34645.6,,,,,,2013,34645.6,,0.382
887.0,Yemen,,,,,,4660.85,,,,,3769.6,,,,,,,,,,4789.5,,6916.1,,,,,,,2012,6916.1,,0.283
894.0,Zambia,,,,,19470.08,,,,,,5328.71,,,,,,,,,,,,,,,,,,,2000,5328.71,,0.512
716.0,Zimbabwe,,,,,2982.25,,,,,,36195.6,,,,,,4825.77,,,,,,,,,,,,,2006,4825.77,,0.397
