Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"SO2 emissions, latest year",% change since 1990,"Emissions, pc last year"
246.0,Finland,250.34,202.29,158.1,138.12,123.67,104.97,110.42,101.59,93.69,91.28,81.0,90.31,91.13,102.45,84.56,69.1,84.04,82.76,67.7,59.54,67.13,60.4,50.95,48.32,43.2,41.83,39.77,35.49,33.39,2018,33.39,-86.66,6.05
250.0,France,1320.52,1420.34,1289.76,1128.51,1063.61,1007.17,994.62,852.79,888.34,766.36,672.06,613.02,568.33,546.31,529.61,503.57,476.32,454.54,383.32,325.78,309.09,272.54,266.42,247.67,205.5,198.99,183.52,183.44,180.04,2018,180.04,-86.37,2.77
266.0,Gabon,,,,,1.0,,,,,,7.67,,,,,,,,,,,,,,,,,,,2000,7.67,,6.24
268.0,Georgia,,,,,,20.26,,,,,0.19,1.27,0.2,0.28,0.34,0.44,1.0,0.4,1.3,1.8,0.28,0.46,0.48,2.54,,,,,,2013,2.54,,0.63
276.0,Germany,5442.58,3974.57,3246.36,2910.79,2424.36,1750.89,1483.46,1233.09,986.38,805.74,650.4,629.22,565.89,538.82,497.39,477.2,475.63,458.79,453.75,395.27,405.12,389.12,371.56,359.9,339.1,335.77,311.17,301.45,288.68,2018,288.68,-94.7,3.47
288.0,Ghana,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,2000,0.5,,0.03
300.0,Greece,510.95,503.21,518.51,508.89,526.98,520.66,521.3,554.18,578.34,563.97,562.58,573.47,557.78,564.79,565.3,585.08,545.03,529.48,457.94,410.76,231.0,168.25,141.97,130.5,114.48,112.13,107.36,105.55,98.99,2018,98.99,-80.63,9.41
320.0,Guatemala,74.5,,,,74.61,,,,,,98.46,,,,,52.29,,,,,,,,,,,,,,2005,52.29,-29.81,3.99
324.0,Guinea,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,1994,0.44,,0.06
328.0,Guyana,7.5,7.5,7.5,7.5,7.5,8.1,7.7,8.2,9.0,7.0,7.1,6.8,6.9,6.9,6.9,,,,,,,,,,,,,,,2004,6.9,-8.0,9.25
332.0,Haiti,,,,,8.8,11.96,12.51,14.58,14.18,14.37,13.58,,,,,,,,,,,,,,,,,,,2000,13.58,,1.6
340.0,Honduras,,,,,,0.3,,,,,0.38,,,,,,,,,,,,,,,,,,,2000,0.38,,0.06
348.0,Hungary,829.73,832.66,715.44,719.99,629.73,614.1,611.94,625.52,565.97,558.5,427.24,346.33,272.35,246.0,151.45,42.96,39.2,36.28,35.87,29.76,30.47,34.3,30.54,29.39,26.03,24.31,23.14,27.82,23.04,2018,23.04,-97.22,2.37
352.0,Iceland,24.03,22.33,24.72,24.76,23.35,22.24,24.71,24.73,24.44,32.51,38.77,41.72,44.93,41.45,36.3,42.51,42.36,60.46,77.36,71.8,81.76,84.13,87.06,72.01,65.38,60.54,51.57,49.65,54.71,2018,54.71,127.66,162.47
364.0,Iran (Islamic Republic of),,,,,29.13,,,,,,139.46,,,,,,,,,,,,,,,,,,,2000,139.46,,2.13
368.0,Iraq,,,,,,,,3909.0,,,,,,,,,,,,,,,,,,,,,,1997,3909.0,,182.33
372.0,Ireland,182.93,183.15,170.92,161.95,177.09,163.17,150.05,168.93,179.71,161.09,144.22,142.26,106.64,82.63,73.25,73.05,60.78,54.94,45.61,32.76,26.57,25.02,23.49,23.59,16.95,15.08,13.71,13.46,12.17,2018,12.17,-93.35,2.52
376.0,Israel,,,,,,,281.13,,,,270.98,,,235.53,219.28,197.99,182.1,178.18,168.3,154.24,145.37,153.18,151.25,126.17,100.31,100.43,86.13,67.43,56.2,2018,56.2,,6.71
380.0,Italy,1783.86,1672.65,1574.23,1471.75,1389.49,1322.67,1213.9,1138.37,1004.29,903.67,756.22,704.49,623.29,524.48,487.8,409.62,387.84,345.37,290.1,237.46,218.48,196.24,177.97,146.56,131.58,124.49,116.95,115.42,110.45,2018,110.45,-93.81,1.82
388.0,Jamaica,,,,,99.7,,,,,,,,,,,,18.71,19.05,18.62,17.35,16.65,,15.99,,,,,,,2012,15.99,,5.63
392.0,Japan,1250.0,1241.0,1199.47,1155.2,1212.32,1202.97,1158.13,1193.67,1119.5,1136.93,1130.87,1124.15,1115.08,1088.31,1058.25,1010.67,970.29,926.76,860.19,802.59,772.12,727.95,724.16,715.46,706.51,701.73,700.92,695.31,694.93,2018,694.93,-44.41,5.46
400.0,Jordan,,,,,,,,,,,186.41,,,,,,138.0,,,,,,,,,,,,,2006,138.0,,23.03
398.0,Kazakhstan,1043.89,1028.12,902.66,808.8,638.17,625.94,563.99,506.1,480.44,357.65,407.15,400.85,452.31,483.55,478.06,537.42,581.5,571.89,555.95,566.65,594.5,640.49,652.01,624.28,676.92,666.64,637.2,661.33,668.74,2018,668.74,-35.94,36.5
404.0,Kenya,,,,,,108.45,,,,,126.32,,,,,126.21,,,,,145.65,,,,,,,,,2010,145.65,,3.47
414.0,Kuwait,,,,,319.0,,,,,,,,,,,,,,,,,,,,,,,,,1994,319.0,,192.25
417.0,Kyrgyzstan,92.65,84.71,69.21,55.15,39.19,24.13,22.17,24.78,21.38,23.08,22.53,22.77,22.45,22.03,23.27,23.13,22.83,24.76,31.51,32.97,30.56,,,,,,,,,2010,30.56,-67.01,5.64
418.0,Lao People's Democratic Republic,,,,,,,,,,,1.59,,,,,,,,,,,,,,,,,,,2000,1.59,,0.3
