Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"GHG total without LULUCF, latest year",% change since 1990,"Emissions, pc last year"
203.0,Czechia,197202.55,178986.52,172533.93,164898.96,157406.67,156526.03,159559.05,154994.17,148844.49,139281.76,149457.61,149497.29,145776.8,148967.36,150048.22,147905.91,149080.89,150918.18,146084.37,137219.22,139900.21,138359.07,134202.23,128984.26,126856.68,128303.74,130134.22,129059.0,127449.6,2018,127449.6,-35.37,11.95
408.0,Democratic People's Republic of Korea,207544.0,,,,157529.0,,,,,,81892.0,,87330.0,,,,,,,,,,,,,,,,,2002,87330.0,-57.92,3.74
180.0,Democratic Republic of the Congo,,,,,44641.58,,,,,48207.0,46749.16,46007.38,45914.01,45998.98,,,,,,,,,,,,,,,,2003,45998.98,,0.89
208.0,Denmark,71000.02,81630.67,75643.54,77804.11,81684.72,78731.96,91922.97,82464.94,78486.88,76046.63,71773.41,73508.24,72974.28,78060.17,71947.75,67541.34,75268.34,70696.82,67108.81,64354.79,64654.77,59421.5,54837.72,56561.6,52361.36,49742.09,51798.27,49678.02,49694.48,2018,49694.48,-30.01,8.64
262.0,Djibouti,,,,,510.76,,,,,,1071.81,,,,,,,,,,,,,,,,,,,2000,1071.81,,1.49
212.0,Dominica,,,,,152.19,,,,,,173.9,184.38,177.34,176.8,167.21,181.89,172.36,179.21,174.07,184.52,192.54,206.3,211.4,213.31,219.71,222.64,222.29,211.53,,2017,211.53,,2.96
214.0,Dominican Republic,12640.92,,,,20441.8,,,,23749.48,,26433.24,,,,,,,,,,25230.77,,,,,,,,,2010,25230.77,99.6,2.6
218.0,Ecuador,178646.8,,,,33494.53,,,,,,37033.73,,,,,,48201.19,,,,56333.13,,60191.63,,,,,,,2012,60191.63,-66.31,3.89
818.0,Egypt,116739.56,,,,,,,,,,193237.58,,,,,241631.56,,,,,,,,,,,,,,2005,241631.56,106.98,3.2
222.0,El Salvador,,,,,11716.71,,,,,,,,,,,11069.0,,,,,,,,,,,,,,2005,11069.0,,1.83
232.0,Eritrea,,,,,4167.71,833.29,928.01,855.1,708.82,758.47,3934.0,,,,,,,,,,,,,,,,,,,2000,3934.0,,1.72
