Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year Available,"CO2 emissions, latest year",% change since 1990,"Emissions, pc last year"
208.0,Denmark,54845.67,65428.35,59595.59,61682.6,65699.57,62655.77,75987.01,66603.08,62395.89,59842.62,55609.69,57322.68,56895.54,62055.93,56499.81,52932.0,60858.69,56102.04,52640.37,50184.69,50678.31,45652.28,41218.24,43079.33,38866.73,36493.99,38301.02,36213.25,36246.2,2018,36246.2,-33.91,6.3
262.0,Djibouti,,,,,274.15,,,,,,342.02,,,,,,,,,,,,,,,,,,,2000,342.02,,0.48
212.0,Dominica,,,,,76.53,,,,,,105.8,117.92,113.27,111.08,110.89,119.06,122.0,128.46,122.45,133.78,141.55,149.81,158.9,161.03,167.24,170.15,169.84,156.85,,2017,156.85,,2.19
214.0,Dominican Republic,8762.93,,,,15003.05,,,,16423.85,,18416.75,,,,,,,,,,12572.41,,,,,,,,,2010,12572.41,43.47,1.3
218.0,Ecuador,14252.93,,,,,,,,,,,,,,,,,,,,37473.91,,41084.46,,,,,,,2012,41084.46,188.25,2.66
818.0,Egypt,84235.0,,,,,,,,,,128227.95,,,,,169249.7,,,,,,,,,,,,,,2005,169249.7,100.93,2.24
222.0,El Salvador,,,,,4514.65,,,,,,,,,,,6062.27,,,,,,,,,,,,,,2005,6062.27,,1.0
232.0,Eritrea,,,,,719.79,752.02,827.84,732.25,576.1,615.25,621.0,,,,,,,,,,,,,,,,,,,2000,621.0,,0.27
233.0,Estonia,36907.24,33901.77,24370.46,18910.36,19734.05,18048.83,18759.52,18317.28,16817.25,15653.35,15244.19,15576.73,15090.49,16937.23,17201.01,16921.62,16208.81,19838.56,17668.12,14339.01,18784.96,18855.12,17684.98,19551.95,18755.95,15813.4,17377.65,18635.87,17710.95,2018,17710.95,-52.01,13.39
748.0,Eswatini,,,,,873.87,,,,,,,,,,,,,,,,,,,,,,,,,1994,873.87,,0.96
231.0,Ethiopia,2307.0,1879.0,2073.0,2401.0,2359.14,2238.27,2457.35,2895.98,2995.43,3164.82,3437.9,4250.98,4464.75,5027.51,5289.29,6589.51,6352.01,9066.91,8339.15,9004.12,11134.35,9522.03,9655.41,10143.08,,,,,,2013,10143.08,339.67,0.11
242.0,Fiji,,,,,821.0,,,,,,,,,,1566.57,,,,,,,,,,,,,,,2004,1566.57,,1.92
246.0,Finland,56971.87,55230.4,54285.53,56352.55,61716.2,58145.44,64062.41,62722.99,59373.26,58894.77,57038.25,62536.21,65059.79,72657.82,68960.75,57042.9,68384.42,66760.3,58609.62,55924.37,64099.45,56665.65,51222.15,51750.96,47643.86,44113.71,47227.55,44673.06,45849.35,2018,45849.35,-19.52,8.3
250.0,France,403307.24,428927.11,418231.02,397655.36,393368.86,400239.12,415941.02,408989.96,428344.36,424600.51,419232.28,424005.85,419347.5,426145.7,427117.58,430528.28,419737.02,409033.41,401422.87,385421.58,393717.82,367051.08,368311.77,370548.99,339492.92,344096.98,347095.62,352178.98,338327.1,2018,338327.1,-16.11,5.21
